crab,4276,-9068,5748,-15794,32767,-16874,4088,12044,1144,10751,32767,6783,2292,15412,-2024,885,19,-154,3675430022
crab,1888,-14860,11368,-21503,32767,-17420,1376,15388,6892,6387,32767,5200,2228,15800,-2240,813,266,-179,344794990
crab,-1400,-22044,16660,-20645,32767,-17812,-1284,16164,12512,-2985,32767,3899,2080,16288,-2684,564,336,-219,132226796
crab,-2084,-24224,17296,-17111,32767,-17644,-1232,13444,15992,-9836,32767,3233,2404,16516,-3276,47,369,-294,2545368189
crab,-1824,-21600,17424,-15410,32767,-17266,-524,11164,13792,-14501,32767,5240,2780,16428,-3364,-404,370,-592,2252256726
crab,-1000,-19000,21316,-18159,30403,-17557,-1188,10024,11996,-13669,32767,8992,1656,16192,-3056,-638,216,-851,1281347693
crab,-2240,-18728,25636,-20410,25905,-18274,-3780,6536,13148,-5480,29607,12651,1836,15768,-2868,-842,628,-839,1732185204
crab,-1864,-17940,24480,-20911,21256,-18091,-4604,6544,16804,5575,24536,15655,1964,15324,-2576,-937,891,-833,3608598942
crab,-1908,-17328,24312,-18888,18381,-17085,-5428,8332,21244,14496,20288,17258,2604,15356,-2772,-997,1305,-738,1288148916
crab,-4296,-19028,26532,-14990,16020,-15723,-6924,11088,24880,18796,16271,17732,2336,14944,-2524,-1132,1821,-570,2760016012
crab,-6600,-17316,28000,-9406,12325,-14250,-8068,13500,27124,18289,12834,17086,1848,14684,-1808,-1144,2167,-311,1882691951
crab,-7952,-13220,31368,-5963,8201,-12807,-9412,15252,26600,14359,9253,15819,1336,14892,-1696,-1182,2405,-141,2093283476
crab,-9032,-9400,29496,-4775,3812,-11820,-9096,14268,24740,11549,4762,14746,1076,14856,-1352,-1099,2128,-183,1279702279
crab,-10660,-7512,27980,-3832,-2546,-11827,-8216,11116,24320,10972,-461,14292,440,15308,-864,-1173,1389,-284,2460332289
crab,-9124,-4988,22760,-4344,-8222,-10825,-6568,7008,23772,13425,-5022,14092,416,14248,-552,-771,329,-417,3085534920
crab,-8496,-3096,19824,-7181,-13741,-9747,-6416,4524,23732,16923,-8790,13999,320,13704,-348,-403,-437,-494,4287349473
crab,-6444,-4664,19532,-9714,-17571,-8418,-6076,5332,23248,18482,-11761,13270,936,13240,-108,-113,-899,-479,1480715904
crab,-6344,-4620,20296,-11174,-22495,-6548,-5628,6460,21076,17444,-15032,11899,1440,13604,8,274,-1025,-384,556955498
crab,-5844,-4460,20660,-13509,-28343,-5895,-5212,5820,20684,16168,-20450,10207,1836,14184,-44,574,-774,-154,1114185365
crab,-5108,-5360,20136,-13158,-32768,-5124,-5060,4276,19380,17035,-26024,7437,1608,14840,-392,898,-455,154,3206894244
crab,-4384,-5900,16924,-10741,-32768,-4086,-4248,4492,16668,19099,-29654,4954,1604,15136,-1068,1039,-208,458,1169299781
crab,-4292,-8848,13736,-5331,-32768,-2348,-3040,5708,14436,19381,-31956,2667,1152,15256,-1120,980,-257,642,35757675
