runningman,-30104,3432,-904,7501,4350,-993,-32192,-9780,-5612,-10520,-10054,12358,10444,32767,-3848,1629,-3598,-2603,343733540
runningman,-32768,2600,-3388,4563,4879,-2515,-32768,-10012,-5568,-6274,-5158,11449,11472,32767,5452,-2246,-3361,-3518,1694249254
runningman,-32768,3324,-5328,5425,1700,-3892,-32768,-9712,-4684,-3701,-3715,8486,5360,32767,8588,-1596,-864,-2824,2271216899
runningman,-32768,6072,-8108,2564,-2151,-4744,-32768,-8712,-7020,543,-3369,2667,816,30264,5844,-335,1084,-811,3288237293
runningman,-30408,4520,-7212,629,-4180,-7442,-29512,-3136,-6536,201,-4271,-593,1420,27288,3496,-510,2700,800,1308345696
runningman,-22420,2548,-4140,321,-2973,-5688,-23104,-1976,-5900,776,-6035,-2568,1524,23036,1356,356,2392,1169,1024528682
runningman,-9656,2088,-296,3249,-55,-6279,-13124,-164,-4136,3569,-6599,-1927,2072,15268,-312,1127,2224,851,1537452248
runningman,360,3348,1100,6098,2884,-7080,-4128,3392,-3684,5613,-7966,-2770,3100,8672,1628,1493,2249,609,3085985473
runningman,7184,3356,1724,6312,5012,-6031,9804,3184,-2708,4313,-2919,2277,3044,3220,1936,498,2925,269,2973159463
runningman,9096,3488,792,3874,5503,-3621,10692,1596,-2040,4296,2384,7223,2784,376,2288,-1290,999,-1027,2818369411
runningman,7628,1328,-1396,-1373,6147,-2376,4712,-1088,-2456,6149,5203,8990,320,-2332,1928,-3449,-1324,-1316,2402004474
runningman,1488,-1256,-2124,-3267,6599,-902,-1056,-1576,-1876,8546,4833,7731,-1672,-2340,124,-5183,-3448,-342,997866089
runningman,-1948,-2488,-196,-1263,4543,1609,-3272,56,-1308,7209,3315,5283,-1936,912,-1932,-6456,-3893,765,609290080
runningman,-2496,-2252,888,1355,2799,2919,-2648,1456,-1328,3683,1935,4762,516,0,-1324,-6679,-2754,840,559867077
runningman,-4384,-2536,1640,3314,1062,3719,-2916,3364,-1288,2350,-1690,3375,-888,-668,-780,-7231,-1914,1906,617394494
runningman,-7216,-1904,428,2768,-923,3509,-2288,3704,-3000,461,-2895,3166,2480,-2164,1204,-6217,-257,1861,3076551535
runningman,-11384,-964,-1480,-986,-2281,2409,-6020,2404,-3764,64,-2312,3892,3680,-2136,592,-4171,478,557,1191834242
runningman,-16564,-604,-2224,-4963,-3398,2163,-11680,752,-3688,1045,-1524,2946,4040,-1060,816,-1394,2315,-460,55737181
runningman,-22232,872,-3456,-8642,-5217,968,-19688,-268,-2912,1707,-17,742,436,4920,2424,-1430,2305,-1082,2029259912
runningman,-26164,1352,-2580,-10299,-3981,-422,-24572,1248,-56,-149,3050,-2326,-5116,7024,10236,-7056,-3466,212,4173289533
runningman,-31312,1972,-1516,-9488,-2649,-1505,-32160,4092,1856,-7226,6699,-4578,-3112,12320,23864,4513,-8300,3481,3304510165
runningman,-32768,2876,-1496,-6504,-307,-2856,-32768,2668,-424,-13708,8294,-5615,4480,27772,10744,17240,-3244,3417,738790974
runningman,-32768,3060,-1580,-4265,1151,-3779,-32768,2360,-2628,-17022,5367,-6108,6728,32767,1392,20822,14038,2606,3810451648
runningman,-32768,1044,-1096,-1258,1593,-3972,-32768,1520,-3584,-16145,104,-6428,10452,32767,-19888,12314,2805,3614,526868516
runningman,-30392,1684,-1164,2057,1086,-4482,-29572,1296,-1128,-13132,-3255,-4680,11792,32767,-6904,-517,-4544,218,2068944598
runningman,-23488,2264,-2312,3553,-603,-5660,-23840,-792,-728,-9094,-1534,-1630,2352,31844,2656,-1118,-5563,-302,1146457730
runningman,-18324,3504,-2740,2248,-1574,-6733,-18508,-3480,-836,1813,325,896,828,13776,6064,-596,-3508,338,124195605
runningman,-15128,3120,-608,309,-1725,-6798,-14460,-4104,-996,13578,1631,1533,236,7508,5796,913,-2102,633,66349377
runningman,-10988,376,152,1777,-720,-5992,-10944,-3136,-1132,21567,1724,2305,544,5032,3424,2385,-1352,620,1655136846
