doublepump,-14712,-10616,744,-4235,-8452,230,8364,-8280,1588,1282,9426,5744,1376,15152,2732,-24,4776,539,2344189914
doublepump,-14780,-10268,196,-5450,-7285,321,5592,-10256,5852,-3641,26713,-1827,1456,14820,2920,-56,3674,415,2821171543
doublepump,-14632,-10876,192,-6686,-5611,876,-804,-9700,10612,-8265,32767,-6682,2852,14104,2728,26,2411,208,699696527
doublepump,-14576,-11044,548,-6253,-3584,1579,-15532,-9596,8588,-10443,32767,-14410,4012,14968,1256,-178,1729,160,672759595
doublepump,-14188,-10788,1860,-4452,-1698,1952,-26388,2200,10000,-21663,22779,-11827,4664,16100,1188,-549,1981,646,2970805729
doublepump,-14044,-10540,4000,-2415,-250,1596,-28644,-7836,17220,-20237,9995,-13249,4552,16060,1400,-370,4098,1565,1491910388
doublepump,-14104,-9500,7256,-2735,682,428,-21404,-13076,19764,-3035,3975,-7518,4676,15884,2092,-457,4715,2328,3024056398
doublepump,-14636,-8140,7408,-5374,738,-893,-16324,-12576,17248,18401,-453,-1481,2508,15152,2268,-546,6114,2775,2683441771
doublepump,-13680,-9004,7060,-6296,831,-1175,-12184,-5948,14688,26449,-4615,2281,2312,14296,2832,-948,6351,2970,3200764170
doublepump,-14848,-8000,4864,-4209,199,-2036,-7212,-3700,13236,22407,-6776,4855,1880,13852,3992,-1455,5324,2612,4084797689
doublepump,-13060,-8212,2880,-3465,301,-2047,-3044,-3420,13320,14951,-5244,6561,1788,13240,4660,-963,3157,1863,3466056691
doublepump,-14224,-7556,1848,-3591,-56,-2413,-1380,-3944,13220,6171,-2888,6760,1452,13076,3836,-653,1324,910,503013791
doublepump,-13440,-8928,760,-3768,262,-1374,-272,-5656,13292,-2613,-867,5684,596,12796,3544,-435,-459,290,2887955632
doublepump,-13676,-9572,700,-3497,462,-306,1012,-7736,13244,-7867,1101,4176,1180,13196,4116,-457,-2042,-48,3918514647
doublepump,-13164,-11012,624,-2596,773,953,1528,-9252,13320,-8309,2894,2814,3124,14356,3724,-499,-3690,-332,1446987270
doublepump,-13084,-11984,1156,-403,1080,2027,1480,-10492,13640,-4085,3912,2224,4200,15352,3152,-523,-4210,-516,392623141
doublepump,-12452,-11832,1460,1570,1357,2567,1524,-10008,13964,-23,4252,499,4668,15172,3224,-791,-3951,-633,3949061975
doublepump,-12776,-11932,2136,2970,1696,2354,776,-8988,14372,2527,3982,-1731,2552,14224,4100,-716,-3824,-660,2929780393
doublepump,-12948,-12024,2756,3466,1884,1923,156,-7236,14084,3616,3496,-3668,4316,14348,2964,-707,-3688,-805,3321627908
doublepump,-12928,-12324,3104,3341,1976,1418,-1476,-5528,14528,3757,1994,-4210,3080,13968,3472,-595,-4198,-900,2756602209
doublepump,-13240,-12832,3664,3526,2329,1149,-2004,-4192,14224,3845,651,-3716,3864,13944,3440,-441,-4889,-1120,805033742
doublepump,-13720,-12432,3396,3959,2354,472,-2892,-3232,13668,4453,-49,-2643,3444,14020,3464,-279,-5498,-1435,1057144517
doublepump,-13320,-12976,3400,5080,2568,-89,-4080,-1936,13192,4967,-308,-1559,3640,14232,3168,-101,-5884,-1700,1180121794
doublepump,-13980,-12952,3284,6452,2660,-886,-5492,-1108,12316,5710,-335,-473,3836,14844,2744,58,-6179,-1860,4197713163
doublepump,-14140,-12972,3380,8323,2837,-1466,-6632,-480,11312,6995,-624,267,4348,14908,2384,136,-6325,-1963,2703314859
doublepump,-14492,-12816,3248,10539,2713,-2117,-7084,284,10064,8537,-1396,548,4760,14800,2468,-44,-6189,-2001,3986299098
doublepump,-14664,-13040,3316,12676,2538,-2504,-7188,1964,9180,9518,-2402,565,4532,15152,2228,-347,-6138,-1919,3300628887
doublepump,-14892,-12644,3304,13885,2199,-3056,-6916,2368,8604,9753,-3148,620,3852,15032,2920,-521,-5987,-1687,812269274
doublepump,-14988,-12520,3296,13834,1799,-3883,-6924,2460,7368,10696,-3471,581,3768,15264,3080,-575,-6031,-1498,3388640381
doublepump,-14924,-12876,3416,13425,1466,-5006,-6984,1864,5640,12725,-3532,38,3656,14976,2628,-502,-6017,-1374,167111968
doublepump,-14060,-13992,3768,12788,998,-6216,-5008,1232,4528,15517,-2702,-424,4048,14920,2348,-526,-6337,-1466,2600355971
doublepump,-14508,-14836,4728,12550,796,-6993,-3448,1288,4072,17664,-1164,-1351,4564,14880,1872,-783,-6585,-1766,3395163636
doublepump,-14328,-15996,5184,13388,475,-7709,-2208,960,3864,19532,1267,-3371,4576,14472,2208,-1004,-6902,-2056,234842212
doublepump,-14236,-16492,5712,15466,340,-8802,-2592,1180,3164,21767,3504,-6644,4388,14120,2392,-986,-7115,-2239,1891843822
doublepump,-13808,-16516,5264,17172,126,-10178,-2952,1256,2280,23767,5786,-11564,4364,14272,2428,-866,-7209,-2335,2671151056
doublepump,-13000,-15820,5320,16959,-456,-11657,-3744,1644,1044,26998,7103,-17180,4516,14456,2516,-578,-7324,-2230,162226935
doublepump,-11812,-15492,5448,14503,-440,-12776,-4932,2284,548,30078,8092,-23046,5268,14308,2056,-553,-7457,-2313,3512132536
doublepump,-11164,-14228,5840,9906,227,-13511,-6936,4396,0,32767,8886,-28739,5568,14080,1912,-490,-7363,-2393,3025977705
doublepump,-11176,-16196,7080,6867,1070,-14515,-10080,7376,16,32767,8564,-32768,5664,14296,2040,-458,-7077,-2432,3625299765
doublepump,-10960,-18032,7000,7509,2068,-15873,-12564,13700,-976,32767,8157,-32768,4752,14444,2352,-88,-6279,-2125,318272557
doublepump,-10112,-20076,6824,10855,2921,-16835,-19196,21632,2080,30649,6115,-32768,4704,13724,2724,68,-5667,-1884,828804780
doublepump,-9240,-20968,6032,15072,3048,-16735,-23704,29760,3572,20851,7296,-32768,4788,13668,2300,-45,-5236,-1857,3663983564
doublepump,-8300,-21644,5776,16996,3329,-16164,-23664,31096,4972,16486,9320,-32768,3844,14124,2144,64,-5156,-2055,649074173
doublepump,-7932,-21920,6480,18451,3855,-15601,-24476,30524,5024,20920,11328,-32768,3296,14928,2268,86,-5198,-2249,2100480917
doublepump,-7520,-22668,6684,19903,4126,-15864,-27000,32767,5056,28783,12251,-32768,1900,15656,2960,128,-5982,-2337,2096181174
doublepump,-7436,-24416,7040,21736,3927,-16977,-25532,32767,4632,32767,11771,-32768,1996,15960,3184,-111,-7273,-2471,3267883821
doublepump,-7192,-25572,6760,23691,2883,-18844,-23992,32767,4420,32767,9726,-32768,2080,16116,2692,-361,-8299,-2659,840087791
