runningman,-13820,-5432,488,-3472,-119,3625,-11396,1956,-984,241,-1146,-3204,-608,13744,4120,849,1274,3896,1315360627
runningman,-12648,-5080,384,-2934,372,3843,-9484,2724,-944,-85,-1204,-2441,-1704,11632,5164,1278,-689,3042,1613233265
runningman,-11776,-4864,820,-797,1592,3455,-10568,1956,-260,-559,-1200,-1087,-2516,10256,4476,2613,-1636,2407,471304214
runningman,-11880,-5128,1136,1142,1824,3839,-11572,1072,-732,-2,-2262,-53,-2032,8940,2708,3466,-2887,2018,4271284947
runningman,-10976,-5008,964,4448,2001,4179,-10968,136,-1300,2867,-3603,452,-636,9592,1264,3007,-4476,1405,405622620
runningman,-10344,-4936,1336,7757,2955,4198,-10324,864,-660,6298,-4199,678,-828,11820,1712,1939,-5568,1081,2485184035
runningman,-11004,-4648,1476,10005,3370,4146,-9724,2344,-124,7853,-4227,805,-1292,12400,2148,1542,-6176,1133,1178938748
runningman,-10840,-4420,1380,10707,3327,3995,-9156,3700,240,6767,-3733,1524,-336,10692,232,1820,-6199,1095,3017601963
runningman,-9040,-3904,1256,10074,3023,3706,-9116,3332,1076,5104,-3077,2818,292,7996,-3548,1440,-5756,642,996929793
runningman,-5804,-3464,1628,7230,2793,2864,-8784,2984,1340,4832,-2695,4323,204,7312,-5296,74,-5771,284,2816103721
runningman,-5688,-2536,1340,3229,2913,719,-9344,1580,1028,6655,-3083,5966,-1188,9172,-7352,-3392,-7938,900,2880034979
runningman,-10912,-1604,324,-1188,3632,-2181,-12912,784,332,9267,-3119,8243,-1332,14852,-9688,-7052,-9423,1939,694409306
runningman,-17400,-1296,-408,-3347,4502,-4297,-19896,252,-360,12131,-3283,10139,4148,29556,596,-8663,-8356,3116,3946164366
runningman,-26128,-816,-908,-1625,5659,-4773,-27592,108,-1636,14188,-3388,10753,17188,32767,11912,-5516,-12758,3809,3256524004
runningman,-32768,-1504,500,3604,6291,-2018,-32768,-72,-3144,13647,-2697,9398,27436,32767,4460,-7448,-7476,2412,3389963590
runningman,-32768,-3068,1440,7671,6440,2539,-32768,-44,-3920,10832,-1342,6239,16220,32767,-1172,-8844,-5562,-1117,1233436860
runningman,-32768,-3180,-1340,9910,4943,11741,-32768,1396,-2640,7675,-125,1415,11316,28660,3012,-5468,-1955,-2339,157296909
runningman,-32768,-3324,-3880,6918,1297,20296,-31124,3300,-888,3457,1075,-3575,7280,23964,520,-3002,-1885,-2463,532364817
runningman,-28644,-6108,-3852,4080,-1970,23696,-23028,3216,-348,426,1275,-7007,5504,18144,1096,-1997,-992,-2555,568438920
runningman,-16764,-2116,-1716,2556,-3698,17709,-8968,5288,2296,-2726,613,-8250,3428,13028,636,-2360,-1029,-1752,4242018091
runningman,-4644,-9528,1792,4032,493,13913,-1584,4352,3152,-2405,2131,-4203,1112,8032,2140,-3179,-2287,-575,3377547842
runningman,2152,-5908,3692,3558,2830,9501,1204,3824,4836,-2825,5411,225,-536,3800,3520,-2522,-2651,1217,902508439
runningman,7488,-9132,1084,6780,4524,5209,2936,4960,6296,-4584,4397,2086,-416,-460,2316,-2840,-3307,2318,3419080005
runningman,3104,-4048,1540,2352,3691,-723,716,4808,4140,-6840,2149,2180,3088,-3572,-1156,-3414,-1665,1935,1300071876
runningman,-1052,-6464,912,-558,2487,-2409,-784,4980,2796,-7778,1295,1922,3860,-3652,-3360,-5761,2014,860,2217235544
runningman,-4416,-7204,1484,1330,2265,-3435,-1692,3720,1948,-6982,348,2805,3300,-1524,-412,-7482,4346,-104,2549604751
runningman,-5112,-3976,-204,958,398,-5770,-6048,1576,1688,-4934,-1882,3514,2012,-552,2628,-7138,3876,-848,3447381076
runningman,-6088,-996,-876,-6090,-1171,-7519,-8492,1100,160,-1992,-4456,3534,2012,-1220,4540,-4771,3038,-1630,3502013961
runningman,-10012,736,-1356,-12840,-281,-9574,-13648,2188,-312,207,-5974,3523,-452,-552,4576,-1041,3215,-1265,328077748
runningman,-20996,-1264,1376,-14317,1806,-8186,-17596,2628,-460,-789,-4327,3292,-1604,3120,2356,2956,4714,259,10021314
runningman,-23224,1100,-568,-15915,-423,-7060,-20728,876,-704,-2448,-3490,2768,2156,4608,2436,6607,4764,1045,1865900021
runningman,-26432,1432,-796,-15985,617,-5188,-19664,-1208,-1460,-2041,-1461,2741,6968,16556,1764,8206,-2494,1092,2853601897
runningman,-25528,-4376,-440,-10886,-321,108,-20492,-1904,-2128,1644,89,2390,12936,32767,6852,14820,-7226,2276,1236720245
runningman,-23040,-5332,-2180,-2373,-1377,5505,-20712,-1456,-2348,5870,1453,1007,12560,32767,-2964,12682,-5226,-969,1106339595
runningman,-23376,-4864,-816,4626,-922,7330,-20604,-200,-2160,8115,2627,-765,12140,32767,-832,-593,3205,-2867,3687950739
runningman,-19124,-1320,2444,11874,842,2893,-18260,2168,-1620,6790,4292,-2691,8360,21196,3056,-2142,2141,-4072,2195561992
runningman,-22608,-3428,2172,12959,-781,5214,-16352,3652,-400,4309,3385,-4757,4816,9064,4672,-382,1653,-3908,589465762
runningman,-15220,-5340,928,14565,-2390,5843,-13936,3968,-476,798,649,-6499,1176,6744,4152,1690,209,-3172,3940382139
runningman,-9644,-2624,212,10619,-2404,2451,-5956,4492,740,-3652,897,-6060,648,3704,3772,4298,-1083,-2171,1365553876
runningman,-6116,-2920,1316,5140,-1952,-867,-3844,5380,0,-5855,2048,-5771,1556,364,1580,7148,-92,-2016,570101251
runningman,-5052,-3356,3140,1599,-3384,-1116,-3056,4056,144,-9355,3503,-3282,3116,612,-2012,8009,2593,-2755,2302360884
runningman,-5200,-2888,3144,-1717,-3349,-2007,-7652,3228,948,-9232,3968,-2641,1776,4512,-6468,5248,4283,-1749,1264354255
runningman,-8300,-4480,2048,-5527,-3430,-2639,-12176,1364,-448,-7935,2050,-1755,4640,9884,-11584,-1157,4670,-1808,177100635
runningman,-15672,-4836,2032,-3617,-1202,-5410,-17448,1336,-1684,-6204,1446,-1491,4228,20828,-1212,-5304,6149,-2829,2834209874
runningman,-21216,-2656,1596,-3530,-3392,-6542,-19724,-536,-392,-6370,2530,-768,-2604,32767,13608,-2513,2900,-416,2626090055
runningman,-18044,-948,944,-7225,-5428,-8165,-19504,-1848,-1776,-5613,3503,314,6328,31552,-1872,-4374,7944,-123,24554849
runningman,-21044,-1812,1512,-9031,-4052,-8036,-22276,-3064,-3576,-3049,4297,421,7264,31816,384,-6436,7703,-2395,3037286687
runningman,-31136,916,-488,-12135,-4966,-6588,-26976,-3696,-5624,1546,2890,-528,788,31612,4260,-4274,8423,-2827,2577922945
runningman,-32768,7868,-4440,-25768,-6118,-9231,-30536,-2188,-6516,3619,1920,-3059,-1144,32767,3112,-3837,7086,-3146,4026555771
runningman,-32768,-8244,-2436,-26646,-6794,3090,-32768,392,-3228,736,1421,-6697,-3172,29640,3448,-4868,5806,-3777,3806530883
runningman,-32768,-3624,-1740,-27124,-16179,5948,-30288,1468,-400,-5118,2066,-10168,-972,19344,2184,-4973,3101,-5025,593689767
runningman,-16956,-9012,-728,-17610,-8685,9845,-20216,1680,-740,-7675,1251,-13429,1684,9448,3268,-3065,1802,-6441,184211346
runningman,3852,-11528,1636,-8320,-5270,12139,-3032,3052,488,-5786,-1320,-14527,112,5212,4532,333,641,-6736,3489804857
runningman,23144,-11828,6460,7469,-1895,815,8280,5312,-320,-2017,-313,-12282,-5040,1640,1540,-867,1303,-5301,4039591314
