max_acc1_x,max_acc1_y,max_acc1_z,max_acc2_x,max_acc2_y,max_acc2_z,max_acc3_x,max_acc3_y,max_acc3_z,max_checksum,max_gyro1_x,max_gyro1_y,max_gyro1_z,max_gyro2_x,max_gyro2_y,max_gyro2_z,max_gyro3_x,max_gyro3_y,max_gyro3_z,mean_acc1_x,mean_acc1_y,mean_acc1_z,mean_acc2_x,mean_acc2_y,mean_acc2_z,mean_acc3_x,mean_acc3_y,mean_acc3_z,mean_checksum,mean_gyro1_x,mean_gyro1_y,mean_gyro1_z,mean_gyro2_x,mean_gyro2_y,mean_gyro2_z,mean_gyro3_x,mean_gyro3_y,mean_gyro3_z,min_acc1_x,min_acc1_y,min_acc1_z,min_acc2_x,min_acc2_y,min_acc2_z,min_acc3_x,min_acc3_y,min_acc3_z,min_checksum,min_gyro1_x,min_gyro1_y,min_gyro1_z,min_gyro2_x,min_gyro2_y,min_gyro2_z,min_gyro3_x,min_gyro3_y,min_gyro3_z,move,var_acc1_x,var_acc1_y,var_acc1_z,var_acc2_x,var_acc2_y,var_acc2_z,var_acc3_x,var_acc3_y,var_acc3_z,var_checksum,var_gyro1_x,var_gyro1_y,var_gyro1_z,var_gyro2_x,var_gyro2_y,var_gyro2_z,var_gyro3_x,var_gyro3_y,var_gyro3_z
11080,1204,5436,27433,27195,32767,-9660,8668,8472,7,32767,17519,8971,-10896,6464,6036,20029,7820,4969,-12193.2,-10506.48,228.3,3523.365,-1694.105,-1563.575,-16039.34,-1158.44,-703.88,7.0,1212.26,-154.165,-650.985,-14996.48,2680.42,2438.88,2283.695,-355.985,-1094.945,-32768,-32212,-6920,-20784,-20354,-32247,-30824,-24336,-7836,7,-30156,-15528,-10797,-20328,-2372,-2280,-17678,-7638,-8091,Jamesbond,127373926.11055276,52253372.23075377,8472286.221105527,163155431.3284171,121840212.49645728,394481902.7481156,5116194.054673367,17415158.31798995,8850017.593567839,0.0,264903967.95216084,35013083.52540201,14725012.36660804,2663057.939296482,4019230.295075377,1772290.598592965,185117097.43917084,10762540.768618092,18325889.338668343
-7232,-2880,11784,27433,27195,32767,-9660,6388,8472,7,32767,17519,8971,-10896,6488,6840,20029,4242,5830,-17399.5,-9291.3,836.88,3628.275,229.955,4167.78,-15953.36,-738.02,-1114.66,7.0,6025.255,1403.68,455.495,-14856.48,2114.34,2943.74,4519.57,-1236.475,-2068.555,-32768,-32212,-6920,-22568,-24324,-15211,-22796,-7448,-7836,7,-11377,-8701,-4253,-22388,-2064,-352,-21827,-7638,-8091,Jamesbond,21102410.924623117,39217158.98492462,18325814.216683418,212402442.91394472,103876983.85223618,193086744.03175884,2715607.387336683,6125230.150351759,8607260.667738695,0.0,138759914.964799,19315090.027738694,5965033.065301507,2912235.9895477393,5726248.567236181,1950337.7813065327,193832072.1357789,7417965.104899498,17647398.740678396
13528,-1780,12128,17338,20772,32767,-10048,9812,11300,7,10156,10169,10829,-11016,6604,6840,13811,7202,6919,-8270.84,-9792.44,1185.94,-801.295,-5903.06,-4372.07,-15879.58,-808.54,-2005.5,7.0,-6780.92,-1208.25,-1573.025,-15251.72,1578.9,2254.86,-7577.295,726.795,2140.65,-23764,-25352,-6576,-22568,-26835,-32392,-25996,-31256,-18248,7,-31746,-14580,-9118,-22388,-2568,-988,-21827,-7922,-5776,Jamesbond,111593917.03959799,30975575.12201005,32779318.02653266,130547918.1688191,155383954.02653265,241313422.16592968,3591399.621708543,17816216.22954774,13653109.618090453,0.0,100105301.24984924,20984178.932160802,10486955.019472362,3366044.8659296483,5388569.879396985,2185169.5883417083,123184487.34469847,6735765.550728642,11506894.33919598
13528,-704,12128,25517,25556,32767,-8616,9812,11300,7,32767,19010,11692,-11364,9128,6684,18878,7202,6919,-9436.16,-10225.86,-321.54,6199.585,-1352.97,1549.74,-16231.26,-820.02,-1237.34,7.0,847.505,104.885,-568.615,-14881.34,2662.68,2461.54,2012.145,-347.845,-846.225,-32768,-28924,-6576,-17607,-26835,-32392,-30316,-31256,-18248,7,-31746,-14580,-9118,-20828,-2568,-988,-20804,-8332,-8209,Jamesbond,143410671.2506533,50677781.04562814,21521241.355175883,101907523.69123116,174109980.2001005,333911371.8215076,7250129.218492462,23409027.778492462,15514413.391356785,0.0,256583797.4371608,35772867.58972362,17366687.996758793,2949657.451658292,6562297.746331658,2151605.174271357,172173549.49143216,9384708.624095475,21481460.547110554
16712,-704,7808,25517,25556,32767,-8616,9972,9624,7,32767,19010,11692,-11364,9128,8504,18878,10137,7841,-6851.22,-9258.86,-1032.08,7449.475,1420.96,6026.64,-16135.36,-1927.66,-340.08,7.0,4698.02,-52.925,1125.675,-14723.92,3197.56,2322.02,5789.75,-537.565,-1735.82,-32768,-28924,-7248,-15420,-17751,-9390,-30316,-32768,-11924,7,-26070,-16790,-8456,-23788,-2236,-3200,-17927,-8501,-8209,Jamesbond,193330141.53929648,29894671.49788944,8632696.596582916,103291873.91896985,75756637.54613066,142122610.00040203,6902919.950150753,23825752.7280402,9770797.179497488,0.0,199714493.20562816,42216181.667713575,9437005.336055277,3465900.214673367,6559376.529045226,3234746.853869347,122953453.99748744,16314702.216859298,18101358.691055275
16712,-1848,7860,30864,28482,32767,-10016,9972,9488,7,29844,17718,8374,-11496,7548,8504,20667,10137,7841,-5671.48,-9760.36,-366.98,7833.455,3001.705,6880.455,-15734.64,-2496.92,191.64,7.0,5083.765,869.555,564.53,-14816.7,3406.88,1792.12,6942.17,-904.55,-2056.285,-28232,-22708,-7248,-15420,-17751,-9390,-25692,-32768,-11924,7,-26070,-16790,-14815,-23788,-2236,-3200,-17927,-8501,-7401,Jamesbond,161074535.28603014,18747122.683819097,9952673.768442212,120530008.43012564,78670063.8371608,156866934.14871857,4667043.769246231,25628246.62673367,10750188.25165829,0.0,191637775.2158543,50904547.9969598,12834871.084522612,3884802.9648241205,6269956.367437186,2601828.488040201,141825249.36793968,16303971.364321608,19364834.2651005
-5568,-1848,15500,30864,28482,32767,-10016,6588,9488,7,29844,17718,8374,-11700,7788,5752,20667,4913,6290,-16134.18,-9179.84,772.14,3609.805,3198.815,3819.92,-15671.92,-2118.82,-288.66,7.0,5424.5,2238.495,105.805,-14905.96,2229.7,2463.88,4314.035,-891.475,-1738.25,-28232,-22708,-4748,-27198,-22296,-15421,-21824,-21716,-6148,7,-15426,-13626,-14815,-22312,-3344,-1812,-20747,-7099,-7401,Jamesbond,10815138.379497487,19341919.974271357,14794679.377286434,260969540.7406784,69910709.75957286,160401365.06894475,2386647.953366834,11770218.419698492,8257853.712964824,0.0,127563070.60301508,33290451.98992462,9613025.755753767,3126012.943115578,7913387.969849247,1845084.1262311556,213133914.28520104,7134252.029522613,21560978.138190955
16728,1716,15500,26793,11359,31227,-9376,7452,11844,7,13554,10273,11446,-11920,7788,5752,17139,10146,6715,-10041.72,-9115.22,1090.34,-3441.755,-5963.885,-6410.455,-15822.14,-2828.96,-615.34,7.0,-7308.405,-2541.155,-1018.73,-15328.14,1742.48,2024.6,-8827.185,1614.05,2655.495,-24932,-26276,-9428,-28238,-28890,-32768,-31056,-21576,-16732,7,-32768,-25364,-13735,-22312,-3344,-1952,-22752,-3529,-4911,Jamesbond,134294027.98150754,38470460.896080405,27188427.944120605,195196100.67836684,136744041.22791454,218247743.37484926,5185035.236582914,11628861.465728644,13134266.336080402,0.0,87305753.41806532,40906580.09143216,15692602.137788948,3770615.377286432,4791153.296080402,1822123.5376884423,116658703.99072863,6970145.394472362,8598048.653241206
16728,1716,15488,21961,24238,32767,-9376,9716,11844,7,31431,17362,13618,-11920,6560,5480,20560,10146,6715,-10317.5,-10340.62,434.44,3472.96,-2146.955,1029.96,-15983.18,-2993.2,405.84,7.0,1105.09,-58.605,-680.495,-15050.52,3100.8,1720.44,1846.575,-233.01,-448.585,-27424,-30920,-9428,-28238,-28890,-32768,-31056,-25312,-16732,7,-32768,-25364,-13735,-22244,-1100,-1952,-22752,-8201,-6264,Jamesbond,145913825.67839196,57081150.72924624,20187835.62452261,145835776.9431156,188078221.11856785,408501853.4456281,6738357.91718593,20281820.623115577,13331106.7079397,0.0,247264295.2682412,62898739.08439697,23598864.261281405,2864233.537286432,3135758.9547738694,1621902.2777889445,194897528.21545225,13275490.964723619,16680319.450025124
-4412,-1832,6652,21961,24238,32767,-10288,9716,8444,7,31431,17362,13618,-12216,6560,5480,20560,4324,6253,-16214.2,-9658.32,-377.7,3079.495,3708.495,5262.645,-15826.3,-2639.36,126.06,7.0,5892.235,2345.455,128.295,-15019.72,2487.96,1961.38,4730.605,-1182.85,-1420.795,-27424,-30920,-5080,-19987,-9163,-11950,-22484,-25312,-6276,7,-13628,-16240,-12344,-20668,-1900,-1416,-20567,-8201,-6264,Jamesbond,12798932.22110553,25609542.650854267,6893933.095477387,193325114.64319098,48092070.78389448,173996437.5768593,2978234.281407035,12083954.24160804,6627641.403417085,0.0,117561335.045,30759597.897462312,9825928.188919596,1761438.9563819095,4974766.953165829,1464041.422713568,180896077.15474874,8062486.66080402,14695014.284396986
