timestamp                        , action     , goal       , time_delta         , correct , voltage , current , power , cumpower
Thu Apr 18 00:57:52 2019.362348  , jamesbond  , jamesbond  , 3.1830132007598877 , True , 0 , 0 , 0 , 0
Thu Apr 18 00:57:57 2019.184617  , cowboy     , cowboy     , 4.816015958786011  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:01 2019.9884002 , doublepump , doublepump , 4.79799222946167   , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:06 2019.7834492 , snake      , snake      , 4.787286043167114  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:10 2019.0603719 , snake      , snake      , 3.27170991897583   , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:13 2019.336666  , jamesbond  , jamesbond  , 3.269609212875366  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:18 2019.002709  , chicken    , chicken    , 4.657346963882446  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:22 2019.962782  , mermaid    , mermaid    , 4.955266952514648  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:26 2019.0350761 , hunchback  , hunchback  , 3.062516927719116  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:30 2019.950068  , chicken    , chicken    , 4.908814907073975  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:35 2019.662503  , cowboy     , cowboy     , 4.706614017486572  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:40 2019.575511  , crab       , crab       , 4.907268047332764  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:45 2019.2867541 , doublepump , doublepump , 4.702193975448608  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:51 2019.635778  , raffles    , raffles    , 6.3425798416137695 , True , 0 , 0 , 0 , 0
Thu Apr 18 00:58:56 2019.5490031 , crab       , crab       , 4.904039144515991  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:01 2019.465429  , runningman , runningman , 4.911361217498779  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:06 2019.175807  , chicken    , chicken    , 4.703801155090332  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:09 2019.6576781 , hunchback  , hunchback  , 3.473907947540283  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:14 2019.367562  , mermaid    , mermaid    , 4.7035651206970215 , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:19 2019.282686  , raffles    , raffles    , 4.909964084625244  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:22 2019.336375  , hunchback  , hunchback  , 3.0477209091186523 , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:27 2019.202654  , snake      , snake      , 4.858006000518799  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:30 2019.437314  , mermaid    , mermaid    , 3.228440999984741  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:35 2019.333655  , runningman , runningman , 4.889661073684692  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:38 2019.533925  , doublepump , doublepump , 3.192866086959839  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:43 2019.381987  , chicken    , chicken    , 4.841821193695068  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:48 2019.245373  , doublepump , doublepump , 4.858428001403809  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:53 2019.0668778 , cowboy     , cowboy     , 4.815408706665039  , True , 0 , 0 , 0 , 0
Thu Apr 18 00:59:57 2019.914335  , crab       , crab       , 4.841660022735596  , True , 0 , 0 , 0 , 0

# (30,10) TOTAL_TIME=182.3346057s=3m2s BOKWOON
